user,login_count,night_logins,usb_count,file_activity_count,anomaly_label,risk_score
EMP00149,340,3,3,127,1,7.97
EMP00150,329,1,16,63,1,14.69
EMP00151,192,1,1,76,1,3.90
EMP00152,142,2,11,157,1,1.75
EMP00153,340,3,8,4,1,5.41
EMP00154,85,3,12,124,1,22.79
EMP00155,494,43,424,870,1,49.93
EMP00156,313,3,2,52,1,17.68
EMP00157,326,3,1,178,1,17.16
EMP00158,1352,293,2298,12813,-1,81.41
EMP00159,468,37,266,2475,1,27.13
EMP00160,116,2,19,53,1,5.30
EMP00161,1699,286,5991,14125,-1,80.89
EMP00162,432,36,542,2372,1,33.15
EMP00163,182,2,14,176,1,2.74
EMP00164,108,2,4,90,1,11.71
EMP00165,280,3,0,195,1,13.75
EMP00166,226,1,4,199,1,8.97
EMP00167,262,4,18,195,1,19.12
EMP00168,347,4,11,48,1,16.19
EMP00169,952,10,546,1688,1,47.90
EMP00170,68,0,0,22,1,13.55
EMP00171,254,2,4,170,1,6.84
EMP00172,273,1,11,124,1,15.08
EMP00173,320,1,19,170,1,6.13
EMP00174,204,3,0,60,1,9.60
EMP00175,283,3,5,176,1,3.19
EMP00176,75,2,13,176,1,6.39
EMP00177,150,1,4,127,1,11.70
EMP00178,234,3,16,123,1,11.03
EMP00179,251,2,16,59,1,8.07
EMP00180,197,0,10,127,1,0.66
EMP00181,303,0,17,121,1,12.68
EMP00182,304,3,8,11,1,22.20
EMP00183,131,0,17,24,1,6.30
EMP00184,272,0,7,183,1,16.96
EMP00185,69,2,4,67,1,11.96
EMP00186,129,3,7,166,1,15.08
EMP00187,276,3,16,17,1,18.98
EMP00188,224,2,16,196,1,19.87
EMP00189,102,0,6,20,1,19.54
EMP00190,1110,36,225,2286,1,46.45
EMP00191,110,2,17,39,1,7.17
EMP00192,552,15,212,657,1,32.56
EMP00193,1002,26,264,1048,1,25.30
EMP00194,326,3,11,116,1,3.85
EMP00195,1134,27,235,1024,1,35.26
EMP00196,191,3,11,40,1,21.89
EMP00197,252,1,3,31,1,22.33
EMP00198,212,0,6,16,1,21.98
EMP00199,205,0,6,118,1,19.09
EMP00200,306,1,11,146,1,4.35
EMP00201,307,2,12,125,1,6.65
EMP00202,145,4,13,129,1,7.70
EMP00203,647,34,531,1212,1,44.79
EMP00204,287,4,7,46,1,21.59
EMP00205,110,0,7,22,1,8.32
EMP00206,227,3,9,84,1,20.08
EMP00207,194,4,7,68,1,22.48
EMP00208,99,2,17,0,1,11.52
EMP00209,234,2,4,58,1,13.34
EMP00210,305,0,2,37,1,14.06
EMP00211,144,4,14,125,1,0.58
EMP00212,129,3,17,8,1,13.70
EMP00213,279,0,19,25,1,23.26
EMP00214,85,2,18,162,1,21.96
EMP00215,198,1,14,119,1,14.13
EMP00216,170,3,6,26,1,3.17
EMP00217,1786,293,2493,11238,-1,69.02
EMP00218,51,4,1,115,1,13.96
EMP00219,447,41,359,1489,1,46.15
EMP00220,323,3,2,74,1,21.44
EMP00221,73,4,8,0,1,1.31
EMP00222,560,33,532,991,1,34.94
EMP00223,1170,45,355,894,1,32.37
EMP00224,1708,252,4570,7913,-1,97.51
EMP00225,253,4,0,12,1,13.77
EMP00226,527,31,457,2425,1,34.90
EMP00227,645,11,73,1383,1,49.61
EMP00228,113,0,1,81,1,0.90
EMP00229,121,1,18,142,1,14.12
EMP00230,255,1,13,179,1,21.58
EMP00231,153,3,3,145,1,12.38
EMP00232,211,0,8,131,1,12.90
EMP00233,274,3,18,54,1,15.10
EMP00234,343,2,16,174,1,5.05
EMP00235,849,16,257,1961,1,46.56
EMP00236,185,3,8,179,1,2.70
EMP00237,147,4,13,46,1,6.11
EMP00238,125,0,3,41,1,22.12
EMP00239,803,26,268,2054,1,28.26
EMP00240,764,34,254,1823,1,34.25
EMP00241,1117,32,435,1331,1,29.82
EMP00242,216,2,6,185,1,12.10
EMP00243,340,2,17,86,1,3.20
EMP00244,737,52,253,1858,1,46.16
EMP00245,127,0,8,129,1,2.85
EMP00246,324,2,12,81,1,19.59
EMP00247,700,52,237,1250,1,47.30
EMP00248,904,56,321,604,1,36.98
EMP00249,341,2,18,33,1,7.51
EMP00250,188,0,10,54,1,22.57
EMP00251,192,3,3,35,1,12.23
EMP00252,300,4,10,181,1,0.36
EMP00253,1179,59,156,1935,1,45.45
EMP00254,112,1,17,159,1,10.03
EMP00255,251,3,17,6,1,20.28
EMP00256,82,2,16,97,1,20.50
EMP00257,218,2,11,125,1,10.97
EMP00258,223,0,7,155,1,9.84
EMP00259,180,1,10,173,1,2.76
EMP00260,86,0,3,4,1,22.36
EMP00261,1011,45,218,1894,1,35.73
EMP00262,174,2,7,164,1,9.03
EMP00263,53,2,10,155,1,5.27
EMP00264,79,0,16,155,1,11.43
EMP00265,1873,130,6029,12975,-1,83.25
EMP00266,275,1,4,131,1,12.44
EMP00267,103,3,6,170,1,23.87
EMP00268,93,4,9,144,1,4.16
EMP00269,211,1,10,100,1,20.09
EMP00270,110,2,12,139,1,18.55
EMP00271,181,2,10,84,1,17.24
EMP00272,325,4,10,42,1,9.75
EMP00273,107,0,2,39,1,20.63
EMP00274,55,1,12,23,1,18.07
EMP00275,133,3,9,134,1,10.40
EMP00276,264,4,11,80,1,11.07
EMP00277,182,2,16,52,1,19.57
EMP00278,54,1,1,35,1,4.63
EMP00279,183,4,9,190,1,2.94
EMP00280,120,3,8,176,1,10.57
EMP00281,330,1,6,150,1,3.02
EMP00282,260,2,0,56,1,21.53
EMP00283,1402,187,3371,6071,-1,55.77
EMP00284,118,4,8,79,1,4.75
EMP00285,164,4,10,29,1,23.25
EMP00286,308,2,11,173,1,7.23
EMP00287,114,0,18,48,1,18.24
EMP00288,228,4,10,165,1,11.13
EMP00289,111,3,13,88,1,8.46
EMP00290,198,2,1,105,1,3.85
EMP00291,211,1,9,160,1,0.11
EMP00292,201,3,8,184,1,5.03
EMP00293,260,1,13,61,1,6.80
EMP00294,775,29,85,1538,1,47.04
EMP00295,91,4,7,11,1,22.08
EMP00296,328,3,10,100,1,19.29
EMP00297,316,2,15,7,1,20.36
EMP00298,245,2,6,75,1,5.74
EMP00299,78,4,2,40,1,19.73
EMP00300,146,4,1,12,1,6.86
EMP00301,1755,174,3022,6273,-1,82.36
EMP00302,334,0,5,161,1,17.14
EMP00303,944,13,103,1731,1,36.85
EMP00304,77,2,15,14,1,11.17
EMP00305,301,4,11,52,1,6.06
EMP00306,148,2,18,81,1,11.41
EMP00307,261,4,18,32,1,17.55
EMP00308,965,19,193,1850,1,44.56
EMP00309,734,50,387,1142,1,26.71
EMP00310,214,3,6,137,1,4.12
EMP00311,1063,273,4786,11325,-1,59.77
EMP00312,319,1,4,133,1,7.09
EMP00313,237,3,16,43,1,15.07
EMP00314,731,43,441,2144,1,29.79
EMP00315,122,0,12,173,1,4.19
EMP00316,506,54,363,2499,1,40.27
EMP00317,169,4,7,29,1,10.52
EMP00318,336,2,13,111,1,10.32
EMP00319,1367,153,5384,9899,-1,98.95
EMP00320,93,3,5,197,1,14.36
EMP00321,206,1,10,74,1,11.96
EMP00322,1151,32,390,603,1,29.85
EMP00323,53,3,18,72,1,15.94
EMP00324,157,4,16,156,1,14.89
EMP00325,1007,53,280,815,1,33.45
EMP00326,339,2,5,53,1,5.17
EMP00327,176,4,0,146,1,6.63
EMP00328,286,0,0,196,1,0.25
EMP00329,1929,213,5777,13572,-1,96.81
EMP00330,977,42,280,1342,1,25.93
EMP00331,160,0,14,79,1,23.56
EMP00332,138,4,13,8,1,11.50
EMP00333,100,3,14,60,1,13.30
EMP00334,278,1,5,86,1,19.46
EMP00335,91,1,3,172,1,2.46
EMP00336,97,2,7,118,1,15.68
EMP00337,190,1,18,73,1,15.47
EMP00338,211,2,9,38,1,12.71
EMP00339,50,0,14,76,1,14.91
EMP00340,169,0,16,138,1,3.14
EMP00341,1224,278,2743,9820,-1,81.39
EMP00342,327,2,7,50,1,16.26
EMP00343,331,3,10,119,1,13.94
EMP00344,252,2,10,85,1,8.51
EMP00345,233,1,16,65,1,17.34
EMP00346,78,0,10,55,1,9.27
EMP00347,956,50,162,1213,1,42.23
EMP00348,201,3,15,199,1,12.10
EMP00349,150,3,9,170,1,2.91
EMP00350,1019,21,389,2298,1,40.94
EMP00351,189,3,0,169,1,12.38
EMP00352,236,2,1,30,1,15.10
EMP00353,64,1,13,38,1,20.67
EMP00354,97,3,7,115,1,7.33
EMP00355,334,4,18,102,1,10.16
EMP00356,336,0,0,152,1,1.53
EMP00357,240,4,8,83,1,10.69
EMP00358,137,2,4,63,1,14.49
EMP00359,170,1,10,179,1,19.97
EMP00360,723,19,501,571,1,43.91
EMP00361,90,2,11,89,1,19.16
EMP00362,307,0,15,2,1,18.85
EMP00363,325,4,4,5,1,11.57
EMP00364,88,1,4,63,1,4.42
EMP00365,161,2,0,127,1,12.17
EMP00366,169,0,11,32,1,18.45
EMP00367,229,2,18,97,1,8.30
EMP00368,143,0,3,121,1,17.64
EMP00369,1786,127,2304,13002,-1,76.49
EMP00370,974,36,478,1085,1,28.86
EMP00371,1191,57,335,1346,1,32.76
EMP00372,271,3,5,165,1,10.48
EMP00373,237,4,18,69,1,3.54
EMP00374,173,0,16,34,1,13.92
EMP00375,346,3,14,63,1,19.92
EMP00376,338,2,9,30,1,1.95
EMP00377,308,1,4,176,1,6.81
EMP00378,284,1,0,131,1,11.44
EMP00379,71,1,9,45,1,21.53
EMP00380,106,0,14,81,1,18.55
EMP00381,202,4,14,88,1,10.44
EMP00382,84,3,19,4,1,17.57
EMP00383,314,3,10,149,1,4.77
EMP00384,85,3,18,143,1,12.54
EMP00385,156,2,3,198,1,20.10
EMP00386,319,3,14,143,1,21.42
EMP00387,100,1,19,23,1,6.96
EMP00388,150,2,3,51,1,9.51
EMP00389,178,3,0,197,1,6.46
EMP00390,325,4,10,148,1,4.37
EMP00391,190,4,5,35,1,8.52
EMP00392,296,4,5,22,1,22.61
EMP00393,166,2,17,103,1,18.79
EMP00394,108,2,11,86,1,15.61
EMP00395,262,4,9,183,1,17.38
EMP00396,1516,139,3100,8441,-1,62.41
EMP00397,149,0,14,168,1,20.01
EMP00398,340,0,15,124,1,15.04
EMP00399,121,1,11,120,1,20.60
EMP00400,282,3,15,75,1,9.71
EMP00401,311,0,13,70,1,1.45
EMP00402,172,0,5,177,1,8.46
EMP00403,267,1,4,197,1,6.41
EMP00404,214,3,2,170,1,13.57
EMP00405,238,4,8,180,1,19.39
EMP00406,141,3,0,184,1,5.02
EMP00407,112,3,10,179,1,16.90
EMP00408,97,2,1,8,1,11.94
EMP00409,154,0,10,42,1,12.97
EMP00410,1464,294,4712,10448,-1,70.24
EMP00411,278,0,12,118,1,20.65
EMP00412,197,2,3,89,1,22.81
EMP00413,275,1,16,24,1,13.90
EMP00414,964,50,245,1297,1,38.58
EMP00415,323,4,14,100,1,10.79
EMP00416,175,1,10,97,1,3.07
EMP00417,129,4,5,166,1,11.38
EMP00418,116,0,2,109,1,14.97
EMP00419,124,4,6,60,1,1.08
EMP00420,873,44,513,2115,1,27.42
EMP00421,174,3,14,22,1,8.23
EMP00422,90,1,10,0,1,1.43
EMP00423,302,0,6,179,1,10.42
EMP00424,221,2,13,150,1,12.21
EMP00425,131,3,0,143,1,16.58
EMP00426,84,4,0,7,1,15.95
EMP00427,209,2,11,152,1,22.54
EMP00428,152,1,5,134,1,14.38
EMP00429,216,0,5,22,1,6.79
EMP00430,323,4,0,3,1,1.79
EMP00431,325,4,6,72,1,18.22
EMP00432,125,0,13,15,1,21.63
EMP00433,131,0,14,51,1,2.66
EMP00434,302,2,2,2,1,6.47
EMP00435,1557,260,6536,14277,-1,62.08
EMP00436,1724,128,6346,8962,-1,99.34
EMP00437,320,3,12,86,1,7.66
EMP00438,896,47,389,886,1,28.88
EMP00439,189,0,7,87,1,19.29
EMP00440,1758,115,6331,11180,-1,95.58
EMP00441,312,0,5,172,1,1.65
EMP00442,142,1,13,48,1,19.39
EMP00443,177,3,10,116,1,5.59
EMP00444,257,3,12,7,1,8.68
EMP00445,296,0,6,121,1,1.42
EMP00446,289,0,18,72,1,3.07
EMP00447,282,2,1,126,1,22.90
EMP00448,118,2,19,13,1,19.12
EMP00449,556,24,56,1366,1,33.61
EMP00450,897,26,414,2266,1,31.15
EMP00451,119,2,6,33,1,20.48
EMP00452,90,1,18,38,1,23.54
EMP00453,168,4,9,170,1,8.62
EMP00454,223,1,4,138,1,15.42
EMP00455,93,0,8,197,1,6.15
EMP00456,131,2,4,45,1,8.73
EMP00457,164,2,10,7,1,0.26
EMP00458,1864,293,6030,8532,-1,52.64
EMP00459,1077,10,301,515,1,29.67
EMP00460,171,2,7,30,1,10.90
EMP00461,165,0,16,15,1,7.33
EMP00462,127,0,6,197,1,17.48
EMP00463,98,2,8,187,1,2.58
EMP00464,1176,108,3310,7102,-1,85.12
EMP00465,133,3,10,74,1,7.53
EMP00466,210,0,12,135,1,20.50
EMP00467,826,20,188,2202,1,44.89
EMP00468,100,2,11,38,1,7.28
EMP00469,473,28,316,1216,1,44.42
EMP00470,102,1,14,124,1,14.75
EMP00471,97,1,14,120,1,21.99
EMP00472,802,56,100,2390,1,47.99
EMP00473,252,0,19,116,1,23.99
EMP00474,329,3,9,50,1,18.67
EMP00475,84,2,16,14,1,5.77
EMP00476,341,3,17,75,1,6.30
EMP00477,270,1,18,18,1,2.52
EMP00478,1777,107,6104,7797,-1,82.60
EMP00479,248,2,2,195,1,4.34
EMP00480,206,3,17,154,1,14.56
EMP00481,140,1,3,122,1,17.69
EMP00482,251,1,6,46,1,23.80
EMP00483,292,4,9,135,1,5.64
EMP00484,196,4,16,23,1,7.87
EMP00485,84,2,3,79,1,6.62
EMP00486,235,4,13,166,1,22.89
EMP00487,246,0,10,109,1,4.84
EMP00488,1934,212,6106,5213,-1,77.32
EMP00489,344,4,3,101,1,0.20
EMP00490,226,2,10,27,1,7.30
EMP00491,526,34,65,1101,1,38.03
EMP00492,308,3,4,86,1,18.88
EMP00493,225,2,13,170,1,4.89
EMP00494,169,0,10,29,1,11.68
EMP00495,254,1,3,130,1,4.69
EMP00496,123,0,2,120,1,14.19
EMP00497,176,3,15,106,1,8.39
EMP00498,55,0,19,190,1,9.73
EMP00499,188,4,16,196,1,5.94
EMP00500,144,0,7,146,1,18.57
EMP00501,264,3,5,109,1,23.48
EMP00502,101,4,6,64,1,15.57
EMP00503,174,4,12,97,1,2.10
EMP00504,219,3,14,62,1,13.73
EMP00505,202,4,11,53,1,12.74
EMP00506,1084,12,103,967,1,41.24
EMP00507,142,2,12,10,1,22.71
EMP00508,128,2,17,144,1,16.26
EMP00509,312,3,8,59,1,11.31
EMP00510,180,3,17,73,1,8.29
EMP00511,121,4,5,159,1,2.47
EMP00512,695,55,405,705,1,27.55
EMP00513,345,0,11,198,1,17.91
EMP00514,106,4,14,131,1,14.02
EMP00515,156,2,16,90,1,21.73
EMP00516,310,1,8,45,1,0.83
EMP00517,139,4,12,24,1,18.65
EMP00518,61,0,18,46,1,16.94
EMP00519,317,2,3,170,1,1.54
EMP00520,420,56,212,832,1,38.86
EMP00521,291,3,0,154,1,9.79
EMP00522,290,3,5,50,1,15.47
EMP00523,133,4,9,77,1,21.36
EMP00524,608,34,520,1501,1,40.66
EMP00525,1658,276,6962,7230,-1,78.80
EMP00526,195,4,15,52,1,20.58
EMP00527,260,1,12,61,1,20.94
EMP00528,167,4,7,192,1,20.49
EMP00529,1172,168,6650,13640,-1,69.11
EMP00530,207,4,4,92,1,16.69
EMP00531,242,4,12,9,1,9.29
EMP00532,248,1,7,174,1,18.45
EMP00533,145,0,3,191,1,13.31
EMP00534,509,34,261,1151,1,43.06
EMP00535,120,4,6,162,1,4.14
EMP00536,235,0,14,82,1,1.06
EMP00537,223,0,8,37,1,17.03
EMP00538,812,28,103,1478,1,42.10
EMP00539,83,3,19,96,1,8.85
EMP00540,193,1,10,128,1,3.79
EMP00541,265,0,14,9,1,0.13
EMP00542,102,3,11,39,1,12.94
EMP00543,98,0,5,153,1,16.94
EMP00544,303,0,4,147,1,22.79
EMP00545,173,3,14,161,1,14.97
EMP00546,316,3,15,138,1,14.16
EMP00547,238,4,13,11,1,6.95
EMP00548,799,32,412,2075,1,36.74
EMP00549,254,1,0,114,1,6.68
EMP00550,95,0,6,65,1,10.59
EMP00551,478,13,493,1963,1,40.89
EMP00552,140,3,10,12,1,1.98
EMP00553,404,33,488,2362,1,40.38
EMP00554,166,0,5,61,1,23.47
EMP00555,941,46,543,2391,1,30.74
EMP00556,793,20,437,2417,1,27.37
EMP00557,105,2,17,64,1,0.66
EMP00558,320,4,1,161,1,0.68
EMP00559,142,2,14,62,1,4.83
EMP00560,142,4,9,77,1,20.00
EMP00561,111,2,4,186,1,22.39
EMP00562,203,1,2,93,1,19.46
EMP00563,251,0,2,129,1,1.21
EMP00564,113,1,19,21,1,10.99
EMP00565,282,1,6,59,1,0.90
EMP00566,69,4,11,189,1,4.35
EMP00567,281,2,8,173,1,22.44
EMP00568,302,2,11,92,1,17.24
EMP00569,695,10,92,1172,1,45.22
EMP00570,1757,210,4714,13346,-1,100.18
EMP00571,121,4,19,38,1,12.41
EMP00572,122,0,6,65,1,0.43
EMP00573,823,57,259,843,1,35.88
EMP00574,286,1,1,194,1,11.23
EMP00575,136,2,0,40,1,21.90
EMP00576,1444,297,3728,8010,-1,78.03
EMP00577,277,1,2,155,1,17.83
EMP00578,131,4,16,196,1,18.04
EMP00579,175,1,11,175,1,9.87
EMP00580,225,4,3,170,1,21.50
EMP00581,130,1,9,10,1,11.53
EMP00582,140,2,15,35,1,21.30
EMP00583,1765,290,4546,14662,-1,87.96
EMP00584,327,3,2,147,1,6.86
EMP00585,333,3,9,9,1,8.27
EMP00586,282,1,11,31,1,7.81
EMP00587,79,3,8,134,1,22.04
EMP00588,1059,10,543,2374,1,33.96
EMP00589,136,0,1,67,1,10.45
EMP00590,171,3,12,30,1,2.26
EMP00591,832,24,408,2304,1,41.63
EMP00592,77,0,2,21,1,15.38
EMP00593,1192,33,68,1822,1,45.69
EMP00594,185,3,10,152,1,7.51
EMP00595,69,4,6,64,1,9.07
EMP00596,186,2,4,193,1,18.35
EMP00597,54,3,6,126,1,16.38
EMP00598,304,4,7,57,1,6.80
EMP00599,256,4,19,1,1,1.73
EMP00600,338,1,19,106,1,2.31
EMP00601,901,36,452,872,1,34.01
EMP00602,99,1,3,85,1,2.72
EMP00603,319,1,5,160,1,16.13
EMP00604,1096,23,538,1351,1,26.70
EMP00605,263,1,11,57,1,0.63
EMP00606,228,1,15,60,1,16.81
EMP00607,840,16,386,2213,1,40.64
EMP00608,236,3,11,110,1,16.15
EMP00609,195,4,0,122,1,0.91
EMP00610,703,37,513,1396,1,32.92
EMP00611,312,0,0,134,1,19.55
EMP00612,133,2,10,76,1,15.31
EMP00613,220,0,16,30,1,6.35
EMP00614,154,1,8,80,1,4.87
EMP00615,1163,44,357,1596,1,27.59
EMP00616,223,2,3,42,1,0.94
EMP00617,199,3,7,64,1,23.93
EMP00618,54,3,19,115,1,11.85
EMP00619,106,1,6,120,1,11.02
EMP00620,205,4,2,70,1,14.24
EMP00621,208,4,9,116,1,20.02
EMP00622,221,3,8,110,1,20.37
EMP00623,1172,25,492,1530,1,25.11
EMP00624,928,10,533,1041,1,40.18
EMP00625,996,28,371,889,1,38.48
EMP00626,961,12,214,2227,1,27.15
EMP00627,327,1,6,84,1,23.34
EMP00628,254,2,2,184,1,6.44
EMP00629,265,3,16,176,1,14.03
EMP00630,202,0,5,170,1,20.26
EMP00631,291,2,16,125,1,1.35
EMP00632,229,4,11,178,1,9.64
EMP00633,129,1,5,160,1,17.98
EMP00634,279,1,19,105,1,15.69
EMP00635,287,2,18,191,1,15.48
EMP00636,806,30,511,1263,1,37.48
EMP00637,236,1,0,88,1,1.80
EMP00638,541,12,294,1897,1,39.51
EMP00639,456,38,210,748,1,40.85
EMP00640,290,2,13,108,1,7.34
EMP00641,253,0,18,113,1,20.95
EMP00642,137,0,9,199,1,19.62
EMP00643,54,1,15,195,1,23.17
EMP00644,749,24,335,1678,1,42.62
EMP00645,123,1,2,165,1,19.17
EMP00646,173,1,16,59,1,6.69
EMP00647,1063,31,248,2426,1,43.80
EMP00648,193,3,11,24,1,23.08
EMP00649,194,0,0,96,1,22.64
EMP00650,1138,48,71,1829,1,39.43
EMP00651,346,1,13,83,1,11.59
EMP00652,280,1,11,190,1,10.10
EMP00653,1613,254,4523,11731,-1,98.76
EMP00654,1050,31,283,2060,1,26.10
EMP00655,311,2,4,168,1,20.52
EMP00656,1136,288,5741,14742,-1,75.07
EMP00657,103,1,4,42,1,14.11
EMP00658,95,3,14,164,1,8.22
EMP00659,343,3,16,150,1,0.37
EMP00660,1007,262,2744,12949,-1,62.91
EMP00661,117,0,14,117,1,0.76
EMP00662,342,3,18,150,1,13.55
EMP00663,179,3,18,87,1,17.77
EMP00664,325,1,3,190,1,19.56
EMP00665,204,1,2,157,1,14.24
EMP00666,132,2,3,48,1,6.85
EMP00667,121,2,13,7,1,1.11
EMP00668,315,4,9,73,1,17.52
EMP00669,644,13,272,859,1,41.95
EMP00670,1096,19,61,2488,1,40.91
EMP00671,507,26,112,1931,1,44.91
EMP00672,163,1,12,19,1,8.96
EMP00673,211,1,14,73,1,15.32
EMP00674,192,3,10,43,1,0.06
EMP00675,145,2,12,52,1,3.63
EMP00676,690,21,59,1995,1,37.84
EMP00677,259,3,17,113,1,13.11
EMP00678,191,3,16,46,1,7.52
EMP00679,1172,56,543,1608,1,28.43
EMP00680,258,4,4,44,1,17.88
EMP00681,243,1,14,158,1,22.78
EMP00682,468,56,227,1752,1,35.69
EMP00683,197,1,16,11,1,18.36
